age,workclass,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,target
39,private,7,divorced,other_service,own_child,white,male,0,0,40,united_states,0
37,private,13,never_married,adm_clerical,own_child,black,female,0,0,32,united_states,0
27,private,13,never_married,exec_managerial,own_child,white,male,0,0,40,united_states,0
28,private,13,never_married,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
30,private,9,never_married,craft_repair,own_child,white,male,0,0,40,united_states,0
44,private,13,civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,1
57,federal_gov,9,divorced,adm_clerical,unmarried,white,female,0,0,40,united_states,0
28,private,10,civ_spouse,craft_repair,husband,white,male,0,0,63,united_states,0
34,local_gov,5,never_married,other_service,own_child,white,male,0,0,40,united_states,0
50,private,13,separated,sales,not_in_family,white,male,0,0,40,united_states,1
26,private,13,never_married,prof_specialty,not_in_family,asian_pac_islander,male,4650,0,40,vietnam,0
28,local_gov,16,divorced,prof_specialty,not_in_family,white,female,0,0,40,united_states,0
26,private,10,civ_spouse,machine_op_inspct,husband,amer_indian_eskimo,male,0,0,40,united_states,0
55,private,5,civ_spouse,sales,husband,white,male,0,0,45,united_states,0
22,private,3,never_married,farming_fishing,other_relative,white,male,0,0,40,mexico,0
35,private,9,separated,transport_moving,not_in_family,white,male,0,0,40,united_states,0
44,private,6,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,greece,0
53,private,9,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,1
29,private,12,civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,0
53,local_gov,11,divorced,exec_managerial,not_in_family,amer_indian_eskimo,male,0,0,48,united_states,0
50,federal_gov,13,divorced,prof_specialty,not_in_family,white,male,0,0,60,united_states,1
33,private,9,civ_spouse,craft_repair,husband,white,male,0,0,30,united_states,0
21,private,9,never_married,craft_repair,not_in_family,black,male,0,0,32,united_states,0
32,self_emp_not_inc,14,never_married,prof_specialty,not_in_family,white,male,0,0,40,united_states,0
37,local_gov,9,civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,0
27,self_emp_not_inc,9,never_married,protective_serv,not_in_family,white,male,0,0,30,united_states,0
74,state_gov,4,widowed,handlers_cleaners,not_in_family,white,female,0,0,20,united_states,0
49,local_gov,14,divorced,prof_specialty,not_in_family,white,female,0,0,60,united_states,0
31,self_emp_not_inc,10,civ_spouse,craft_repair,husband,white,male,0,0,60,united_states,0
25,private,13,civ_spouse,prof_specialty,wife,white,female,0,0,32,united_states,0
38,private,13,never_married,prof_specialty,own_child,white,male,0,0,40,united_states,0
31,private,13,never_married,exec_managerial,unmarried,white,female,0,0,50,united_states,0
26,private,10,never_married,adm_clerical,own_child,white,female,0,0,40,united_states,0
44,private,9,never_married,other_service,own_child,white,male,0,0,40,united_states,0
55,self_emp_inc,13,civ_spouse,exec_managerial,husband,white,male,0,2415,50,united_states,1
38,private,5,civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,0
56,private,9,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
25,private,9,never_married,adm_clerical,own_child,black,female,0,0,32,united_states,0
23,private,9,never_married,craft_repair,not_in_family,white,male,0,0,40,united_states,0
40,private,10,divorced,machine_op_inspct,own_child,white,male,0,0,32,united_states,0
30,private,9,civ_spouse,adm_clerical,husband,white,male,0,0,44,united_states,0
30,self_emp_not_inc,7,never_married,farming_fishing,own_child,black,male,0,0,40,united_states,0
32,private,13,civ_spouse,exec_managerial,husband,white,male,0,0,60,united_states,1
64,self_emp_not_inc,9,civ_spouse,farming_fishing,husband,white,male,7298,0,45,united_states,1
36,private,14,civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,1
22,private,10,never_married,adm_clerical,own_child,white,female,0,0,35,united_states,0
26,private,10,never_married,exec_managerial,unmarried,black,female,0,0,40,united_states,0
24,private,12,never_married,handlers_cleaners,own_child,white,male,0,0,30,united_states,0
31,private,4,never_married,farming_fishing,other_relative,white,male,0,0,60,portugal,0
58,self_emp_inc,9,never_married,sales,not_in_family,white,male,0,0,47,united_states,0
36,private,13,civ_spouse,sales,husband,white,male,15024,0,65,united_states,1
24,private,13,never_married,sales,own_child,white,male,0,0,40,united_states,0
43,federal_gov,13,never_married,adm_clerical,not_in_family,black,male,6849,0,50,united_states,0
47,private,13,civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,0
31,private,9,never_married,adm_clerical,own_child,white,male,0,0,40,united_states,0
49,private,10,separated,exec_managerial,unmarried,black,female,0,0,60,united_states,0
25,private,9,civ_spouse,transport_moving,husband,white,male,0,0,60,united_states,0
23,private,13,never_married,sales,not_in_family,white,female,0,0,40,united_states,0
50,private,13,divorced,sales,unmarried,black,male,0,0,40,united_states,0
51,local_gov,9,civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,1
38,private,3,civ_spouse,other_service,husband,white,male,0,0,75,mexico,0
48,private,11,civ_spouse,craft_repair,husband,white,male,0,0,42,united_states,0
62,private,10,civ_spouse,craft_repair,husband,white,male,0,0,45,united_states,0
37,private,9,divorced,machine_op_inspct,unmarried,white,male,0,0,40,united_states,0
34,private,9,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,0
81,private,13,widowed,sales,not_in_family,white,male,0,0,50,united_states,1
31,local_gov,10,divorced,adm_clerical,not_in_family,white,female,0,0,35,united_states,0
42,private,13,divorced,adm_clerical,unmarried,white,male,9562,0,45,united_states,1
70,self_emp_not_inc,7,civ_spouse,farming_fishing,husband,white,male,0,0,40,united_states,0
43,private,16,civ_spouse,prof_specialty,husband,white,male,99999,0,55,united_states,1
31,private,13,widowed,sales,unmarried,white,female,0,0,41,united_states,0
41,local_gov,11,never_married,other_service,not_in_family,white,male,0,0,40,united_states,0
31,private,10,never_married,tech_support,not_in_family,black,female,0,0,50,united_states,0
19,private,11,never_married,prof_specialty,own_child,white,female,0,0,40,united_states,0
47,private,14,civ_spouse,prof_specialty,husband,white,male,15024,0,45,united_states,1
38,self_emp_not_inc,9,civ_spouse,farming_fishing,husband,white,male,0,0,50,united_states,0
40,private,12,divorced,prof_specialty,not_in_family,white,female,0,0,40,united_states,0
37,private,10,civ_spouse,machine_op_inspct,husband,black,male,0,0,40,united_states,1
19,private,7,never_married,priv_house_serv,not_in_family,white,female,0,0,35,united_states,0
53,federal_gov,16,civ_spouse,prof_specialty,husband,white,male,15024,0,60,germany,1
47,self_emp_not_inc,10,divorced,other_service,unmarried,white,female,0,0,45,united_states,0
19,private,10,never_married,other_service,own_child,white,male,0,0,20,united_states,0
49,local_gov,15,civ_spouse,prof_specialty,wife,white,female,0,1977,60,united_states,1
19,private,10,never_married,prof_specialty,own_child,white,male,0,0,10,united_states,0
60,private,13,civ_spouse,machine_op_inspct,husband,asian_pac_islander,male,0,0,25,iran,0
37,private,10,divorced,transport_moving,not_in_family,white,male,0,0,40,united_states,0
39,private,9,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,1
48,private,10,civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,0
62,private,10,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,0
47,private,5,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,0
53,federal_gov,9,widowed,exec_managerial,not_in_family,white,female,0,0,58,united_states,0
28,private,10,divorced,craft_repair,not_in_family,white,male,0,0,46,united_states,0
61,private,10,civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,1
31,federal_gov,9,never_married,adm_clerical,own_child,white,male,0,0,35,united_states,0
33,local_gov,13,divorced,prof_specialty,own_child,white,male,0,2339,40,united_states,0
47,private,16,civ_spouse,prof_specialty,husband,white,male,0,0,40,iran,1
33,private,10,never_married,sales,not_in_family,asian_pac_islander,male,0,0,26,south,0
30,local_gov,9,civ_spouse,adm_clerical,wife,white,female,0,0,40,united_states,1
32,private,13,civ_spouse,prof_specialty,husband,white,male,0,0,40,mexico,0
23,private,12,never_married,sales,own_child,white,female,0,0,40,united_states,0
47,private,7,civ_spouse,machine_op_inspct,wife,black,female,0,0,40,united_states,0
41,private,9,widowed,exec_managerial,other_relative,white,male,914,0,40,united_states,0
40,local_gov,9,never_married,adm_clerical,other_relative,black,female,0,0,40,united_states,0
34,private,13,never_married,exec_managerial,not_in_family,white,male,0,0,40,united_states,1
25,private,13,never_married,exec_managerial,own_child,white,male,0,0,40,united_states,0
49,local_gov,9,civ_spouse,protective_serv,husband,white,male,0,0,56,united_states,0
84,self_emp_inc,10,civ_spouse,sales,husband,white,male,0,0,35,united_states,1
34,self_emp_not_inc,9,civ_spouse,prof_specialty,husband,white,male,0,0,51,united_states,0
53,state_gov,12,divorced,adm_clerical,unmarried,amer_indian_eskimo,female,0,0,40,united_states,0
50,private,13,civ_spouse,exec_managerial,husband,white,male,7298,0,50,united_states,1
42,state_gov,9,divorced,protective_serv,unmarried,white,female,0,0,40,united_states,0
32,private,15,never_married,prof_specialty,not_in_family,white,female,0,0,40,united_states,0
25,private,13,never_married,exec_managerial,own_child,white,male,0,0,40,united_states,0
39,self_emp_inc,9,civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,1
39,local_gov,14,civ_spouse,prof_specialty,husband,white,male,7298,0,40,united_states,1
30,private,9,never_married,transport_moving,own_child,black,male,0,0,40,united_states,0
23,private,10,never_married,handlers_cleaners,own_child,white,male,0,0,20,united_states,0
58,self_emp_not_inc,16,civ_spouse,prof_specialty,husband,white,male,15024,0,32,united_states,1
46,private,11,separated,prof_specialty,not_in_family,white,male,0,0,40,united_states,0
34,state_gov,13,never_married,prof_specialty,own_child,white,male,0,0,50,united_states,0
50,private,10,civ_spouse,sales,husband,white,male,0,0,40,united_states,0
25,private,9,never_married,adm_clerical,own_child,asian_pac_islander,female,0,0,40,united_states,0
33,private,9,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
29,private,4,civ_spouse,farming_fishing,husband,white,male,0,0,40,united_states,0
64,private,9,widowed,adm_clerical,not_in_family,white,female,2174,0,37,united_states,0
27,self_emp_not_inc,10,civ_spouse,sales,husband,asian_pac_islander,male,0,0,40,vietnam,0
34,private,13,civ_spouse,sales,husband,white,male,0,0,60,united_states,1
61,private,10,civ_spouse,prof_specialty,husband,white,male,0,1902,40,united_states,1
46,private,9,divorced,craft_repair,other_relative,white,male,0,0,40,united_states,0
20,private,10,never_married,adm_clerical,own_child,white,male,0,0,16,united_states,0
54,private,16,widowed,tech_support,unmarried,white,male,0,2472,40,united_states,1
62,local_gov,13,civ_spouse,adm_clerical,wife,white,female,0,1258,38,united_states,0
33,self_emp_not_inc,9,divorced,craft_repair,not_in_family,white,male,0,0,65,united_states,1
44,private,14,civ_spouse,exec_managerial,husband,white,male,0,0,38,united_states,1
21,private,10,never_married,sales,own_child,white,male,0,0,40,united_states,0
30,private,10,never_married,machine_op_inspct,own_child,black,female,0,0,40,united_states,0
45,local_gov,13,civ_spouse,transport_moving,husband,asian_pac_islander,male,0,0,40,thailand,0
55,private,10,civ_spouse,tech_support,husband,white,male,0,0,40,united_states,0
43,state_gov,13,never_married,prof_specialty,not_in_family,white,female,0,0,40,united_states,0
48,federal_gov,13,civ_spouse,exec_managerial,husband,white,male,7688,0,40,united_states,1
32,private,13,civ_spouse,exec_managerial,husband,white,male,0,0,45,united_states,1
43,private,10,divorced,prof_specialty,unmarried,white,male,0,0,45,united_states,0
25,private,9,never_married,sales,not_in_family,white,male,4416,0,42,united_states,0
45,private,13,widowed,other_service,own_child,asian_pac_islander,female,0,0,40,philippines,0
38,private,10,never_married,farming_fishing,unmarried,white,male,0,0,60,united_states,0
40,private,9,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,1
33,private,10,never_married,other_service,not_in_family,white,female,0,0,28,united_states,0
23,private,10,never_married,tech_support,other_relative,white,female,0,0,40,united_states,0
47,private,13,divorced,craft_repair,not_in_family,white,male,0,0,40,united_states,0
61,private,4,civ_spouse,transport_moving,husband,white,male,0,0,50,united_states,0
42,private,5,civ_spouse,transport_moving,husband,white,male,0,0,40,united_states,0
36,state_gov,9,civ_spouse,exec_managerial,husband,white,male,0,0,50,united_states,0
52,private,9,divorced,adm_clerical,unmarried,white,male,0,0,40,united_states,0
24,private,9,never_married,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
50,local_gov,9,civ_spouse,handlers_cleaners,husband,white,male,0,0,40,united_states,0
62,private,13,civ_spouse,sales,husband,white,male,0,0,60,united_states,1
24,private,9,separated,other_service,unmarried,white,female,0,0,25,united_states,0
36,private,10,civ_spouse,adm_clerical,wife,white,female,0,0,40,united_states,0
30,self_emp_not_inc,14,civ_spouse,prof_specialty,wife,white,female,0,0,60,united_states,1
31,private,10,civ_spouse,sales,husband,white,male,15024,0,45,united_states,1
53,private,13,divorced,other_service,not_in_family,black,male,3325,0,40,united_states,0
20,private,9,never_married,other_service,own_child,white,male,0,0,40,united_states,0
23,local_gov,9,never_married,transport_moving,own_child,white,male,0,0,40,united_states,0
20,private,10,never_married,other_service,own_child,white,male,0,0,20,united_states,0
48,private,10,civ_spouse,transport_moving,husband,white,male,0,0,45,united_states,0
20,private,6,never_married,handlers_cleaners,own_child,white,male,0,0,40,united_states,0
23,private,10,never_married,handlers_cleaners,own_child,amer_indian_eskimo,male,0,0,40,united_states,0
21,private,10,never_married,other_service,not_in_family,white,female,0,0,18,united_states,0
67,self_emp_inc,9,civ_spouse,exec_managerial,husband,white,male,9386,0,50,united_states,1
48,self_emp_not_inc,10,civ_spouse,sales,husband,white,male,0,0,70,united_states,1
60,self_emp_inc,9,civ_spouse,craft_repair,wife,white,female,0,0,40,united_states,0
43,private,10,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,0
39,private,5,separated,craft_repair,own_child,white,male,0,0,35,mexico,0
59,private,9,divorced,adm_clerical,unmarried,white,female,0,0,38,united_states,0
35,private,15,never_married,prof_specialty,not_in_family,asian_pac_islander,male,0,0,40,india,1
38,private,9,divorced,adm_clerical,own_child,white,female,0,0,40,united_states,0
53,private,9,civ_spouse,other_service,husband,white,male,0,0,50,germany,1
22,private,10,never_married,adm_clerical,own_child,white,male,0,0,30,puerto_rico,0
51,private,11,never_married,prof_specialty,own_child,white,female,0,0,40,united_states,0
27,private,9,never_married,machine_op_inspct,not_in_family,white,female,0,0,40,united_states,0
33,private,9,civ_spouse,transport_moving,husband,white,male,0,1887,50,united_states,1
39,self_emp_inc,11,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
47,private,13,civ_spouse,sales,husband,white,male,0,0,60,united_states,0
40,self_emp_not_inc,9,divorced,other_service,own_child,white,female,0,0,40,united_states,0
52,self_emp_not_inc,6,civ_spouse,exec_managerial,husband,white,male,0,0,40,united_states,0
28,private,9,civ_spouse,transport_moving,husband,white,male,0,1848,40,united_states,1
68,self_emp_inc,10,civ_spouse,exec_managerial,husband,white,male,10605,0,20,united_states,1
18,private,7,never_married,other_service,other_relative,black,male,0,0,20,united_states,0
40,federal_gov,15,civ_spouse,prof_specialty,husband,white,male,7688,0,40,united_states,1
52,private,7,civ_spouse,other_service,husband,white,male,0,0,40,united_states,0
33,private,13,civ_spouse,exec_managerial,husband,white,male,0,0,50,united_states,1
58,private,9,civ_spouse,adm_clerical,wife,white,female,0,0,40,united_states,1
52,federal_gov,11,divorced,farming_fishing,not_in_family,white,female,0,0,40,united_states,0
36,private,12,civ_spouse,prof_specialty,wife,white,female,0,0,31,united_states,1
23,private,10,never_married,sales,own_child,white,female,0,0,28,united_states,0
27,private,9,never_married,transport_moving,not_in_family,white,male,0,0,60,united_states,0
38,private,9,civ_spouse,handlers_cleaners,husband,white,male,3411,0,40,united_states,0
53,self_emp_not_inc,14,divorced,exec_managerial,not_in_family,white,male,0,0,50,united_states,1
19,private,5,never_married,other_service,own_child,white,male,0,0,40,united_states,0
27,self_emp_inc,9,separated,adm_clerical,not_in_family,white,male,0,0,38,united_states,0
28,local_gov,10,civ_spouse,protective_serv,husband,white,male,0,0,40,united_states,1
56,private,13,never_married,prof_specialty,not_in_family,white,female,0,0,45,mexico,0
31,private,9,civ_spouse,farming_fishing,husband,white,male,0,0,40,united_states,0
22,private,10,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
32,private,14,never_married,prof_specialty,not_in_family,white,female,0,1590,40,united_states,0
39,private,9,never_married,machine_op_inspct,not_in_family,black,male,0,0,40,united_states,0
63,private,13,divorced,other_service,not_in_family,white,female,0,0,10,united_states,0
33,private,14,never_married,prof_specialty,own_child,white,male,0,0,20,united_states,0
20,private,10,never_married,protective_serv,own_child,white,male,0,0,40,united_states,0
26,private,9,never_married,priv_house_serv,other_relative,white,female,0,1602,15,mexico,0
28,private,11,divorced,craft_repair,not_in_family,white,male,0,0,60,united_states,0
34,private,9,never_married,sales,not_in_family,white,male,0,0,50,united_states,0
28,private,9,never_married,tech_support,not_in_family,white,male,0,0,40,united_states,0
58,local_gov,14,never_married,exec_managerial,not_in_family,amer_indian_eskimo,female,0,0,40,united_states,0
35,private,10,never_married,transport_moving,not_in_family,white,male,0,0,40,united_states,0
39,private,7,civ_spouse,transport_moving,husband,white,male,0,0,40,united_states,0
45,self_emp_not_inc,9,civ_spouse,sales,husband,asian_pac_islander,male,0,0,50,south,1
18,private,7,never_married,other_service,own_child,white,female,0,0,15,united_states,0
59,private,9,civ_spouse,sales,husband,white,male,0,0,40,united_states,1
41,private,13,civ_spouse,prof_specialty,husband,white,male,0,0,55,united_states,1
20,private,10,never_married,sales,own_child,white,male,0,0,40,united_states,0
64,state_gov,13,civ_spouse,adm_clerical,husband,white,male,0,0,40,united_states,0
43,state_gov,15,civ_spouse,prof_specialty,husband,white,male,0,1977,70,united_states,1
27,private,13,never_married,prof_specialty,not_in_family,white,female,0,0,48,united_states,0
49,private,9,divorced,adm_clerical,unmarried,white,female,0,0,38,united_states,0
41,private,9,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
44,self_emp_not_inc,15,civ_spouse,prof_specialty,husband,white,male,0,1977,50,united_states,1
57,self_emp_not_inc,4,civ_spouse,craft_repair,husband,white,male,0,0,50,united_states,0
38,private,10,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
28,private,9,divorced,adm_clerical,not_in_family,white,female,0,0,40,united_states,0
40,private,13,civ_spouse,exec_managerial,husband,white,male,0,1902,32,united_states,1
23,private,13,never_married,craft_repair,not_in_family,amer_indian_eskimo,male,0,0,40,mexico,0
24,local_gov,13,never_married,prof_specialty,own_child,white,female,0,0,20,united_states,0
36,private,10,divorced,prof_specialty,not_in_family,white,male,0,0,50,united_states,0
19,private,10,never_married,sales,own_child,white,female,0,0,30,united_states,0
21,private,9,never_married,other_service,other_relative,white,female,0,0,20,united_states,0
46,private,13,civ_spouse,farming_fishing,husband,white,male,0,0,40,united_states,0
41,local_gov,10,civ_spouse,transport_moving,husband,white,male,3942,0,40,united_states,0
36,local_gov,9,separated,adm_clerical,unmarried,black,female,0,0,40,united_states,0
26,private,14,never_married,exec_managerial,own_child,white,female,0,0,40,united_states,0
22,local_gov,9,divorced,machine_op_inspct,own_child,white,male,0,0,48,united_states,0
27,private,13,never_married,tech_support,unmarried,asian_pac_islander,female,0,0,20,philippines,0
48,private,13,civ_spouse,exec_managerial,husband,white,male,0,0,60,greece,1
46,private,10,civ_spouse,sales,wife,white,female,0,0,40,united_states,1
36,self_emp_not_inc,9,never_married,craft_repair,own_child,white,male,0,0,35,united_states,0
35,private,13,divorced,exec_managerial,not_in_family,white,male,27828,0,50,united_states,1
27,private,13,never_married,tech_support,not_in_family,white,male,0,0,50,united_states,0
69,state_gov,16,civ_spouse,prof_specialty,husband,white,male,0,0,50,united_states,1
52,private,13,never_married,sales,other_relative,white,female,0,0,25,united_states,0
39,private,12,never_married,other_service,own_child,white,female,0,0,56,united_states,0
35,private,13,never_married,other_service,other_relative,white,male,0,0,50,united_states,0
74,private,10,civ_spouse,sales,husband,white,male,0,0,20,united_states,1
40,federal_gov,13,never_married,adm_clerical,not_in_family,white,male,0,0,40,puerto_rico,0
41,private,9,civ_spouse,craft_repair,husband,white,male,5178,0,40,united_states,1
63,self_emp_inc,10,widowed,sales,not_in_family,white,female,14084,0,60,united_states,1
49,self_emp_inc,15,civ_spouse,prof_specialty,husband,white,male,0,0,60,united_states,1
40,private,13,civ_spouse,adm_clerical,wife,white,female,0,0,40,united_states,0
50,private,3,civ_spouse,handlers_cleaners,husband,white,male,0,0,40,mexico,0
40,private,11,divorced,tech_support,not_in_family,white,male,3325,0,40,united_states,0
37,private,10,civ_spouse,tech_support,wife,white,female,0,0,35,united_states,0
49,private,6,civ_spouse,handlers_cleaners,husband,white,male,0,1485,40,united_states,1
32,private,12,divorced,prof_specialty,unmarried,white,female,0,880,36,united_states,0
29,private,13,civ_spouse,sales,husband,white,male,3103,0,45,united_states,1
50,private,10,civ_spouse,transport_moving,husband,white,male,0,0,70,united_states,1
34,local_gov,14,civ_spouse,prof_specialty,husband,black,male,0,0,40,united_states,0
53,private,9,civ_spouse,adm_clerical,wife,white,female,0,0,40,united_states,1
46,private,11,spouse_absent,machine_op_inspct,unmarried,white,male,0,0,40,united_states,0
36,private,9,divorced,adm_clerical,unmarried,white,female,0,0,40,united_states,0
48,private,9,divorced,sales,own_child,white,female,0,0,20,united_states,0
44,private,13,civ_spouse,exec_managerial,wife,white,female,0,0,45,united_states,1
31,private,13,civ_spouse,prof_specialty,husband,white,male,7688,0,40,united_states,1
50,private,10,civ_spouse,tech_support,husband,white,male,0,0,60,united_states,1
36,self_emp_not_inc,11,civ_spouse,farming_fishing,husband,white,male,0,0,99,united_states,0
26,private,9,civ_spouse,sales,husband,white,male,0,0,40,united_states,0
25,private,9,civ_spouse,craft_repair,husband,white,male,0,0,40,united_states,0
29,private,9,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,0
33,private,9,civ_spouse,machine_op_inspct,husband,white,male,0,0,40,united_states,0
44,private,9,civ_spouse,farming_fishing,husband,white,male,0,0,40,united_states,0
